0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
74.0,74.0,69.0,74.0,73.0,73.0,79.0,85.0,81.0,76.0,73.0,70.0,67.0,67.0,69.0,74.0,70.0,68.0,77.0,82.0,79.0
74.0,69.0,74.0,73.0,73.0,79.0,85.0,81.0,76.0,73.0,70.0,67.0,67.0,69.0,74.0,70.0,68.0,77.0,82.0,79.0,77.0
69.0,74.0,73.0,73.0,79.0,85.0,81.0,76.0,73.0,70.0,67.0,67.0,69.0,74.0,70.0,68.0,77.0,82.0,79.0,77.0,69.0
74.0,73.0,73.0,79.0,85.0,81.0,76.0,73.0,70.0,67.0,67.0,69.0,74.0,70.0,68.0,77.0,82.0,79.0,77.0,69.0,69.0
73.0,73.0,79.0,85.0,81.0,76.0,73.0,70.0,67.0,67.0,69.0,74.0,70.0,68.0,77.0,82.0,79.0,77.0,69.0,69.0,67.0
73.0,79.0,85.0,81.0,76.0,73.0,70.0,67.0,67.0,69.0,74.0,70.0,68.0,77.0,82.0,79.0,77.0,69.0,69.0,67.0,73.0
79.0,85.0,81.0,76.0,73.0,70.0,67.0,67.0,69.0,74.0,70.0,68.0,77.0,82.0,79.0,77.0,69.0,69.0,67.0,73.0,73.0
85.0,81.0,76.0,73.0,70.0,67.0,67.0,69.0,74.0,70.0,68.0,77.0,82.0,79.0,77.0,69.0,69.0,67.0,73.0,73.0,79.0
81.0,76.0,73.0,70.0,67.0,67.0,69.0,74.0,70.0,68.0,77.0,82.0,79.0,77.0,69.0,69.0,67.0,73.0,73.0,79.0,74.0
76.0,73.0,70.0,67.0,67.0,69.0,74.0,70.0,68.0,77.0,82.0,79.0,77.0,69.0,69.0,67.0,73.0,73.0,79.0,74.0,74.0
73.0,70.0,67.0,67.0,69.0,74.0,70.0,68.0,77.0,82.0,79.0,77.0,69.0,69.0,67.0,73.0,73.0,79.0,74.0,74.0,80.0
70.0,67.0,67.0,69.0,74.0,70.0,68.0,77.0,82.0,79.0,77.0,69.0,69.0,67.0,73.0,73.0,79.0,74.0,74.0,80.0,84.0
67.0,67.0,69.0,74.0,70.0,68.0,77.0,82.0,79.0,77.0,69.0,69.0,67.0,73.0,73.0,79.0,74.0,74.0,80.0,84.0,85.0
67.0,69.0,74.0,70.0,68.0,77.0,82.0,79.0,77.0,69.0,69.0,67.0,73.0,73.0,79.0,74.0,74.0,80.0,84.0,85.0,82.0
69.0,74.0,70.0,68.0,77.0,82.0,79.0,77.0,69.0,69.0,67.0,73.0,73.0,79.0,74.0,74.0,80.0,84.0,85.0,82.0,73.0
74.0,70.0,68.0,77.0,82.0,79.0,77.0,69.0,69.0,67.0,73.0,73.0,79.0,74.0,74.0,80.0,84.0,85.0,82.0,73.0,73.0
70.0,68.0,77.0,82.0,79.0,77.0,69.0,69.0,67.0,73.0,73.0,79.0,74.0,74.0,80.0,84.0,85.0,82.0,73.0,73.0,75.0
68.0,77.0,82.0,79.0,77.0,69.0,69.0,67.0,73.0,73.0,79.0,74.0,74.0,80.0,84.0,85.0,82.0,73.0,73.0,75.0,72.0
77.0,82.0,79.0,77.0,69.0,69.0,67.0,73.0,73.0,79.0,74.0,74.0,80.0,84.0,85.0,82.0,73.0,73.0,75.0,72.0,78.0
82.0,79.0,77.0,69.0,69.0,67.0,73.0,73.0,79.0,74.0,74.0,80.0,84.0,85.0,82.0,73.0,73.0,75.0,72.0,78.0,75.0
79.0,77.0,69.0,69.0,67.0,73.0,73.0,79.0,74.0,74.0,80.0,84.0,85.0,82.0,73.0,73.0,75.0,72.0,78.0,75.0,79.0
77.0,69.0,69.0,67.0,73.0,73.0,79.0,74.0,74.0,80.0,84.0,85.0,82.0,73.0,73.0,75.0,72.0,78.0,75.0,79.0,77.0
69.0,69.0,67.0,73.0,73.0,79.0,74.0,74.0,80.0,84.0,85.0,82.0,73.0,73.0,75.0,72.0,78.0,75.0,79.0,77.0,82.0
69.0,67.0,73.0,73.0,79.0,74.0,74.0,80.0,84.0,85.0,82.0,73.0,73.0,75.0,72.0,78.0,75.0,79.0,77.0,82.0,85.0
67.0,73.0,73.0,79.0,74.0,74.0,80.0,84.0,85.0,82.0,73.0,73.0,75.0,72.0,78.0,75.0,79.0,77.0,82.0,85.0,89.0
73.0,73.0,79.0,74.0,74.0,80.0,84.0,85.0,82.0,73.0,73.0,75.0,72.0,78.0,75.0,79.0,77.0,82.0,85.0,89.0,81.0
73.0,79.0,74.0,74.0,80.0,84.0,85.0,82.0,73.0,73.0,75.0,72.0,78.0,75.0,79.0,77.0,82.0,85.0,89.0,81.0,81.0
79.0,74.0,74.0,80.0,84.0,85.0,82.0,73.0,73.0,75.0,72.0,78.0,75.0,79.0,77.0,82.0,85.0,89.0,81.0,81.0,77.0
74.0,74.0,80.0,84.0,85.0,82.0,73.0,73.0,75.0,72.0,78.0,75.0,79.0,77.0,82.0,85.0,89.0,81.0,81.0,77.0,74.0
74.0,80.0,84.0,85.0,82.0,73.0,73.0,75.0,72.0,78.0,75.0,79.0,77.0,82.0,85.0,89.0,81.0,81.0,77.0,74.0,75.0
80.0,84.0,85.0,82.0,73.0,73.0,75.0,72.0,78.0,75.0,79.0,77.0,82.0,85.0,89.0,81.0,81.0,77.0,74.0,75.0,74.0
84.0,85.0,82.0,73.0,73.0,75.0,72.0,78.0,75.0,79.0,77.0,82.0,85.0,89.0,81.0,81.0,77.0,74.0,75.0,74.0,75.0
85.0,82.0,73.0,73.0,75.0,72.0,78.0,75.0,79.0,77.0,82.0,85.0,89.0,81.0,81.0,77.0,74.0,75.0,74.0,75.0,72.0
82.0,73.0,73.0,75.0,72.0,78.0,75.0,79.0,77.0,82.0,85.0,89.0,81.0,81.0,77.0,74.0,75.0,74.0,75.0,72.0,69.0
73.0,73.0,75.0,72.0,78.0,75.0,79.0,77.0,82.0,85.0,89.0,81.0,81.0,77.0,74.0,75.0,74.0,75.0,72.0,69.0,67.0
73.0,75.0,72.0,78.0,75.0,79.0,77.0,82.0,85.0,89.0,81.0,81.0,77.0,74.0,75.0,74.0,75.0,72.0,69.0,67.0,57.0
75.0,72.0,78.0,75.0,79.0,77.0,82.0,85.0,89.0,81.0,81.0,77.0,74.0,75.0,74.0,75.0,72.0,69.0,67.0,57.0,57.0
72.0,78.0,75.0,79.0,77.0,82.0,85.0,89.0,81.0,81.0,77.0,74.0,75.0,74.0,75.0,72.0,69.0,67.0,57.0,57.0,61.0
78.0,75.0,79.0,77.0,82.0,85.0,89.0,81.0,81.0,77.0,74.0,75.0,74.0,75.0,72.0,69.0,67.0,57.0,57.0,61.0,58.0
75.0,79.0,77.0,82.0,85.0,89.0,81.0,81.0,77.0,74.0,75.0,74.0,75.0,72.0,69.0,67.0,57.0,57.0,61.0,58.0,55.0
79.0,77.0,82.0,85.0,89.0,81.0,81.0,77.0,74.0,75.0,74.0,75.0,72.0,69.0,67.0,57.0,57.0,61.0,58.0,55.0,53.0
77.0,82.0,85.0,89.0,81.0,81.0,77.0,74.0,75.0,74.0,75.0,72.0,69.0,67.0,57.0,57.0,61.0,58.0,55.0,53.0,52.0
82.0,85.0,89.0,81.0,81.0,77.0,74.0,75.0,74.0,75.0,72.0,69.0,67.0,57.0,57.0,61.0,58.0,55.0,53.0,52.0,53.0
85.0,89.0,81.0,81.0,77.0,74.0,75.0,74.0,75.0,72.0,69.0,67.0,57.0,57.0,61.0,58.0,55.0,53.0,52.0,53.0,58.0
89.0,81.0,81.0,77.0,74.0,75.0,74.0,75.0,72.0,69.0,67.0,57.0,57.0,61.0,58.0,55.0,53.0,52.0,53.0,58.0,55.0
81.0,81.0,77.0,74.0,75.0,74.0,75.0,72.0,69.0,67.0,57.0,57.0,61.0,58.0,55.0,53.0,52.0,53.0,58.0,55.0,58.0
81.0,77.0,74.0,75.0,74.0,75.0,72.0,69.0,67.0,57.0,57.0,61.0,58.0,55.0,53.0,52.0,53.0,58.0,55.0,58.0,64.0
77.0,74.0,75.0,74.0,75.0,72.0,69.0,67.0,57.0,57.0,61.0,58.0,55.0,53.0,52.0,53.0,58.0,55.0,58.0,64.0,69.0
74.0,75.0,74.0,75.0,72.0,69.0,67.0,57.0,57.0,61.0,58.0,55.0,53.0,52.0,53.0,58.0,55.0,58.0,64.0,69.0,67.0
75.0,74.0,75.0,72.0,69.0,67.0,57.0,57.0,61.0,58.0,55.0,53.0,52.0,53.0,58.0,55.0,58.0,64.0,69.0,67.0,76.0
74.0,75.0,72.0,69.0,67.0,57.0,57.0,61.0,58.0,55.0,53.0,52.0,53.0,58.0,55.0,58.0,64.0,69.0,67.0,76.0,64.0
75.0,72.0,69.0,67.0,57.0,57.0,61.0,58.0,55.0,53.0,52.0,53.0,58.0,55.0,58.0,64.0,69.0,67.0,76.0,64.0,67.0
72.0,69.0,67.0,57.0,57.0,61.0,58.0,55.0,53.0,52.0,53.0,58.0,55.0,58.0,64.0,69.0,67.0,76.0,64.0,67.0,65.0
69.0,67.0,57.0,57.0,61.0,58.0,55.0,53.0,52.0,53.0,58.0,55.0,58.0,64.0,69.0,67.0,76.0,64.0,67.0,65.0,68.0
67.0,57.0,57.0,61.0,58.0,55.0,53.0,52.0,53.0,58.0,55.0,58.0,64.0,69.0,67.0,76.0,64.0,67.0,65.0,68.0,66.0
57.0,57.0,61.0,58.0,55.0,53.0,52.0,53.0,58.0,55.0,58.0,64.0,69.0,67.0,76.0,64.0,67.0,65.0,68.0,66.0,67.0
57.0,61.0,58.0,55.0,53.0,52.0,53.0,58.0,55.0,58.0,64.0,69.0,67.0,76.0,64.0,67.0,65.0,68.0,66.0,67.0,66.0
61.0,58.0,55.0,53.0,52.0,53.0,58.0,55.0,58.0,64.0,69.0,67.0,76.0,64.0,67.0,65.0,68.0,66.0,67.0,66.0,62.0
58.0,55.0,53.0,52.0,53.0,58.0,55.0,58.0,64.0,69.0,67.0,76.0,64.0,67.0,65.0,68.0,66.0,67.0,66.0,62.0,75.0
55.0,53.0,52.0,53.0,58.0,55.0,58.0,64.0,69.0,67.0,76.0,64.0,67.0,65.0,68.0,66.0,67.0,66.0,62.0,75.0,80.0
53.0,52.0,53.0,58.0,55.0,58.0,64.0,69.0,67.0,76.0,64.0,67.0,65.0,68.0,66.0,67.0,66.0,62.0,75.0,80.0,84.0
52.0,53.0,58.0,55.0,58.0,64.0,69.0,67.0,76.0,64.0,67.0,65.0,68.0,66.0,67.0,66.0,62.0,75.0,80.0,84.0,81.0
53.0,58.0,55.0,58.0,64.0,69.0,67.0,76.0,64.0,67.0,65.0,68.0,66.0,67.0,66.0,62.0,75.0,80.0,84.0,81.0,71.0
58.0,55.0,58.0,64.0,69.0,67.0,76.0,64.0,67.0,65.0,68.0,66.0,67.0,66.0,62.0,75.0,80.0,84.0,81.0,71.0,70.0
55.0,58.0,64.0,69.0,67.0,76.0,64.0,67.0,65.0,68.0,66.0,67.0,66.0,62.0,75.0,80.0,84.0,81.0,71.0,70.0,67.0
58.0,64.0,69.0,67.0,76.0,64.0,67.0,65.0,68.0,66.0,67.0,66.0,62.0,75.0,80.0,84.0,81.0,71.0,70.0,67.0,69.0
64.0,69.0,67.0,76.0,64.0,67.0,65.0,68.0,66.0,67.0,66.0,62.0,75.0,80.0,84.0,81.0,71.0,70.0,67.0,69.0,71.0
69.0,67.0,76.0,64.0,67.0,65.0,68.0,66.0,67.0,66.0,62.0,75.0,80.0,84.0,81.0,71.0,70.0,67.0,69.0,71.0,68.0
67.0,76.0,64.0,67.0,65.0,68.0,66.0,67.0,66.0,62.0,75.0,80.0,84.0,81.0,71.0,70.0,67.0,69.0,71.0,68.0,67.0
76.0,64.0,67.0,65.0,68.0,66.0,67.0,66.0,62.0,75.0,80.0,84.0,81.0,71.0,70.0,67.0,69.0,71.0,68.0,67.0,61.0
64.0,67.0,65.0,68.0,66.0,67.0,66.0,62.0,75.0,80.0,84.0,81.0,71.0,70.0,67.0,69.0,71.0,68.0,67.0,61.0,67.0
67.0,65.0,68.0,66.0,67.0,66.0,62.0,75.0,80.0,84.0,81.0,71.0,70.0,67.0,69.0,71.0,68.0,67.0,61.0,67.0,67.0
65.0,68.0,66.0,67.0,66.0,62.0,75.0,80.0,84.0,81.0,71.0,70.0,67.0,69.0,71.0,68.0,67.0,61.0,67.0,67.0,74.0
68.0,66.0,67.0,66.0,62.0,75.0,80.0,84.0,81.0,71.0,70.0,67.0,69.0,71.0,68.0,67.0,61.0,67.0,67.0,74.0,68.0
66.0,67.0,66.0,62.0,75.0,80.0,84.0,81.0,71.0,70.0,67.0,69.0,71.0,68.0,67.0,61.0,67.0,67.0,74.0,68.0,63.0
67.0,66.0,62.0,75.0,80.0,84.0,81.0,71.0,70.0,67.0,69.0,71.0,68.0,67.0,61.0,67.0,67.0,74.0,68.0,63.0,61.0
66.0,62.0,75.0,80.0,84.0,81.0,71.0,70.0,67.0,69.0,71.0,68.0,67.0,61.0,67.0,67.0,74.0,68.0,63.0,61.0,64.0
62.0,75.0,80.0,84.0,81.0,71.0,70.0,67.0,69.0,71.0,68.0,67.0,61.0,67.0,67.0,74.0,68.0,63.0,61.0,64.0,67.0
75.0,80.0,84.0,81.0,71.0,70.0,67.0,69.0,71.0,68.0,67.0,61.0,67.0,67.0,74.0,68.0,63.0,61.0,64.0,67.0,66.0
80.0,84.0,81.0,71.0,70.0,67.0,69.0,71.0,68.0,67.0,61.0,67.0,67.0,74.0,68.0,63.0,61.0,64.0,67.0,66.0,66.0
84.0,81.0,71.0,70.0,67.0,69.0,71.0,68.0,67.0,61.0,67.0,67.0,74.0,68.0,63.0,61.0,64.0,67.0,66.0,66.0,63.0
81.0,71.0,70.0,67.0,69.0,71.0,68.0,67.0,61.0,67.0,67.0,74.0,68.0,63.0,61.0,64.0,67.0,66.0,66.0,63.0,69.0
71.0,70.0,67.0,69.0,71.0,68.0,67.0,61.0,67.0,67.0,74.0,68.0,63.0,61.0,64.0,67.0,66.0,66.0,63.0,69.0,70.0
70.0,67.0,69.0,71.0,68.0,67.0,61.0,67.0,67.0,74.0,68.0,63.0,61.0,64.0,67.0,66.0,66.0,63.0,69.0,70.0,73.0
67.0,69.0,71.0,68.0,67.0,61.0,67.0,67.0,74.0,68.0,63.0,61.0,64.0,67.0,66.0,66.0,63.0,69.0,70.0,73.0,75.0
69.0,71.0,68.0,67.0,61.0,67.0,67.0,74.0,68.0,63.0,61.0,64.0,67.0,66.0,66.0,63.0,69.0,70.0,73.0,75.0,63.0
71.0,68.0,67.0,61.0,67.0,67.0,74.0,68.0,63.0,61.0,64.0,67.0,66.0,66.0,63.0,69.0,70.0,73.0,75.0,63.0,68.0
68.0,67.0,61.0,67.0,67.0,74.0,68.0,63.0,61.0,64.0,67.0,66.0,66.0,63.0,69.0,70.0,73.0,75.0,63.0,68.0,60.0
67.0,61.0,67.0,67.0,74.0,68.0,63.0,61.0,64.0,67.0,66.0,66.0,63.0,69.0,70.0,73.0,75.0,63.0,68.0,60.0,57.0
61.0,67.0,67.0,74.0,68.0,63.0,61.0,64.0,67.0,66.0,66.0,63.0,69.0,70.0,73.0,75.0,63.0,68.0,60.0,57.0,65.0
67.0,67.0,74.0,68.0,63.0,61.0,64.0,67.0,66.0,66.0,63.0,69.0,70.0,73.0,75.0,63.0,68.0,60.0,57.0,65.0,64.0
67.0,74.0,68.0,63.0,61.0,64.0,67.0,66.0,66.0,63.0,69.0,70.0,73.0,75.0,63.0,68.0,60.0,57.0,65.0,64.0,56.0
74.0,68.0,63.0,61.0,64.0,67.0,66.0,66.0,63.0,69.0,70.0,73.0,75.0,63.0,68.0,60.0,57.0,65.0,64.0,56.0,55.0
68.0,63.0,61.0,64.0,67.0,66.0,66.0,63.0,69.0,70.0,73.0,75.0,63.0,68.0,60.0,57.0,65.0,64.0,56.0,55.0,58.0
63.0,61.0,64.0,67.0,66.0,66.0,63.0,69.0,70.0,73.0,75.0,63.0,68.0,60.0,57.0,65.0,64.0,56.0,55.0,58.0,64.0
61.0,64.0,67.0,66.0,66.0,63.0,69.0,70.0,73.0,75.0,63.0,68.0,60.0,57.0,65.0,64.0,56.0,55.0,58.0,64.0,67.0
64.0,67.0,66.0,66.0,63.0,69.0,70.0,73.0,75.0,63.0,68.0,60.0,57.0,65.0,64.0,56.0,55.0,58.0,64.0,67.0,69.0
67.0,66.0,66.0,63.0,69.0,70.0,73.0,75.0,63.0,68.0,60.0,57.0,65.0,64.0,56.0,55.0,58.0,64.0,67.0,69.0,63.0
66.0,66.0,63.0,69.0,70.0,73.0,75.0,63.0,68.0,60.0,57.0,65.0,64.0,56.0,55.0,58.0,64.0,67.0,69.0,63.0,58.0
66.0,63.0,69.0,70.0,73.0,75.0,63.0,68.0,60.0,57.0,65.0,64.0,56.0,55.0,58.0,64.0,67.0,69.0,63.0,58.0,63.0
63.0,69.0,70.0,73.0,75.0,63.0,68.0,60.0,57.0,65.0,64.0,56.0,55.0,58.0,64.0,67.0,69.0,63.0,58.0,63.0,63.0
69.0,70.0,73.0,75.0,63.0,68.0,60.0,57.0,65.0,64.0,56.0,55.0,58.0,64.0,67.0,69.0,63.0,58.0,63.0,63.0,58.0
70.0,73.0,75.0,63.0,68.0,60.0,57.0,65.0,64.0,56.0,55.0,58.0,64.0,67.0,69.0,63.0,58.0,63.0,63.0,58.0,63.0
73.0,75.0,63.0,68.0,60.0,57.0,65.0,64.0,56.0,55.0,58.0,64.0,67.0,69.0,63.0,58.0,63.0,63.0,58.0,63.0,67.0
75.0,63.0,68.0,60.0,57.0,65.0,64.0,56.0,55.0,58.0,64.0,67.0,69.0,63.0,58.0,63.0,63.0,58.0,63.0,67.0,63.0
63.0,68.0,60.0,57.0,65.0,64.0,56.0,55.0,58.0,64.0,67.0,69.0,63.0,58.0,63.0,63.0,58.0,63.0,67.0,63.0,66.0
68.0,60.0,57.0,65.0,64.0,56.0,55.0,58.0,64.0,67.0,69.0,63.0,58.0,63.0,63.0,58.0,63.0,67.0,63.0,66.0,81.0
60.0,57.0,65.0,64.0,56.0,55.0,58.0,64.0,67.0,69.0,63.0,58.0,63.0,63.0,58.0,63.0,67.0,63.0,66.0,81.0,78.0
57.0,65.0,64.0,56.0,55.0,58.0,64.0,67.0,69.0,63.0,58.0,63.0,63.0,58.0,63.0,67.0,63.0,66.0,81.0,78.0,85.0
65.0,64.0,56.0,55.0,58.0,64.0,67.0,69.0,63.0,58.0,63.0,63.0,58.0,63.0,67.0,63.0,66.0,81.0,78.0,85.0,81.0
64.0,56.0,55.0,58.0,64.0,67.0,69.0,63.0,58.0,63.0,63.0,58.0,63.0,67.0,63.0,66.0,81.0,78.0,85.0,81.0,74.0
56.0,55.0,58.0,64.0,67.0,69.0,63.0,58.0,63.0,63.0,58.0,63.0,67.0,63.0,66.0,81.0,78.0,85.0,81.0,74.0,66.0
55.0,58.0,64.0,67.0,69.0,63.0,58.0,63.0,63.0,58.0,63.0,67.0,63.0,66.0,81.0,78.0,85.0,81.0,74.0,66.0,60.0
58.0,64.0,67.0,69.0,63.0,58.0,63.0,63.0,58.0,63.0,67.0,63.0,66.0,81.0,78.0,85.0,81.0,74.0,66.0,60.0,53.0
64.0,67.0,69.0,63.0,58.0,63.0,63.0,58.0,63.0,67.0,63.0,66.0,81.0,78.0,85.0,81.0,74.0,66.0,60.0,53.0,60.0
67.0,69.0,63.0,58.0,63.0,63.0,58.0,63.0,67.0,63.0,66.0,81.0,78.0,85.0,81.0,74.0,66.0,60.0,53.0,60.0,57.0
69.0,63.0,58.0,63.0,63.0,58.0,63.0,67.0,63.0,66.0,81.0,78.0,85.0,81.0,74.0,66.0,60.0,53.0,60.0,57.0,65.0
63.0,58.0,63.0,63.0,58.0,63.0,67.0,63.0,66.0,81.0,78.0,85.0,81.0,74.0,66.0,60.0,53.0,60.0,57.0,65.0,64.0
93.0,95.0,98.0,95.0,94.0,92.0,92.0,88.0,90.0,91.0,88.0,91.0,93.0,94.0,94.0,93.0,91.0,90.0,84.0,87.0,86.0
95.0,98.0,95.0,94.0,92.0,92.0,88.0,90.0,91.0,88.0,91.0,93.0,94.0,94.0,93.0,91.0,90.0,84.0,87.0,86.0,86.0
98.0,95.0,94.0,92.0,92.0,88.0,90.0,91.0,88.0,91.0,93.0,94.0,94.0,93.0,91.0,90.0,84.0,87.0,86.0,86.0,89.0
95.0,94.0,92.0,92.0,88.0,90.0,91.0,88.0,91.0,93.0,94.0,94.0,93.0,91.0,90.0,84.0,87.0,86.0,86.0,89.0,89.0
94.0,92.0,92.0,88.0,90.0,91.0,88.0,91.0,93.0,94.0,94.0,93.0,91.0,90.0,84.0,87.0,86.0,86.0,89.0,89.0,95.0
92.0,92.0,88.0,90.0,91.0,88.0,91.0,93.0,94.0,94.0,93.0,91.0,90.0,84.0,87.0,86.0,86.0,89.0,89.0,95.0,95.0
92.0,88.0,90.0,91.0,88.0,91.0,93.0,94.0,94.0,93.0,91.0,90.0,84.0,87.0,86.0,86.0,89.0,89.0,95.0,95.0,93.0
88.0,90.0,91.0,88.0,91.0,93.0,94.0,94.0,93.0,91.0,90.0,84.0,87.0,86.0,86.0,89.0,89.0,95.0,95.0,93.0,90.0
90.0,91.0,88.0,91.0,93.0,94.0,94.0,93.0,91.0,90.0,84.0,87.0,86.0,86.0,89.0,89.0,95.0,95.0,93.0,90.0,90.0
91.0,88.0,91.0,93.0,94.0,94.0,93.0,91.0,90.0,84.0,87.0,86.0,86.0,89.0,89.0,95.0,95.0,93.0,90.0,90.0,89.0
88.0,91.0,93.0,94.0,94.0,93.0,91.0,90.0,84.0,87.0,86.0,86.0,89.0,89.0,95.0,95.0,93.0,90.0,90.0,89.0,82.0
91.0,93.0,94.0,94.0,93.0,91.0,90.0,84.0,87.0,86.0,86.0,89.0,89.0,95.0,95.0,93.0,90.0,90.0,89.0,82.0,82.0
93.0,94.0,94.0,93.0,91.0,90.0,84.0,87.0,86.0,86.0,89.0,89.0,95.0,95.0,93.0,90.0,90.0,89.0,82.0,82.0,86.0
94.0,94.0,93.0,91.0,90.0,84.0,87.0,86.0,86.0,89.0,89.0,95.0,95.0,93.0,90.0,90.0,89.0,82.0,82.0,86.0,89.0
94.0,93.0,91.0,90.0,84.0,87.0,86.0,86.0,89.0,89.0,95.0,95.0,93.0,90.0,90.0,89.0,82.0,82.0,86.0,89.0,82.0
93.0,91.0,90.0,84.0,87.0,86.0,86.0,89.0,89.0,95.0,95.0,93.0,90.0,90.0,89.0,82.0,82.0,86.0,89.0,82.0,88.0
91.0,90.0,84.0,87.0,86.0,86.0,89.0,89.0,95.0,95.0,93.0,90.0,90.0,89.0,82.0,82.0,86.0,89.0,82.0,88.0,91.0
90.0,84.0,87.0,86.0,86.0,89.0,89.0,95.0,95.0,93.0,90.0,90.0,89.0,82.0,82.0,86.0,89.0,82.0,88.0,91.0,94.0
84.0,87.0,86.0,86.0,89.0,89.0,95.0,95.0,93.0,90.0,90.0,89.0,82.0,82.0,86.0,89.0,82.0,88.0,91.0,94.0,92.0
87.0,86.0,86.0,89.0,89.0,95.0,95.0,93.0,90.0,90.0,89.0,82.0,82.0,86.0,89.0,82.0,88.0,91.0,94.0,92.0,91.0
86.0,86.0,89.0,89.0,95.0,95.0,93.0,90.0,90.0,89.0,82.0,82.0,86.0,89.0,82.0,88.0,91.0,94.0,92.0,91.0,86.0
86.0,89.0,89.0,95.0,95.0,93.0,90.0,90.0,89.0,82.0,82.0,86.0,89.0,82.0,88.0,91.0,94.0,92.0,91.0,86.0,87.0
89.0,89.0,95.0,95.0,93.0,90.0,90.0,89.0,82.0,82.0,86.0,89.0,82.0,88.0,91.0,94.0,92.0,91.0,86.0,87.0,81.0
89.0,95.0,95.0,93.0,90.0,90.0,89.0,82.0,82.0,86.0,89.0,82.0,88.0,91.0,94.0,92.0,91.0,86.0,87.0,81.0,86.0
95.0,95.0,93.0,90.0,90.0,89.0,82.0,82.0,86.0,89.0,82.0,88.0,91.0,94.0,92.0,91.0,86.0,87.0,81.0,86.0,83.0
95.0,93.0,90.0,90.0,89.0,82.0,82.0,86.0,89.0,82.0,88.0,91.0,94.0,92.0,91.0,86.0,87.0,81.0,86.0,83.0,91.0
93.0,90.0,90.0,89.0,82.0,82.0,86.0,89.0,82.0,88.0,91.0,94.0,92.0,91.0,86.0,87.0,81.0,86.0,83.0,91.0,88.0
90.0,90.0,89.0,82.0,82.0,86.0,89.0,82.0,88.0,91.0,94.0,92.0,91.0,86.0,87.0,81.0,86.0,83.0,91.0,88.0,90.0
90.0,89.0,82.0,82.0,86.0,89.0,82.0,88.0,91.0,94.0,92.0,91.0,86.0,87.0,81.0,86.0,83.0,91.0,88.0,90.0,91.0
